Time resolution is 1 ps
Time: 385000 | CLK: 1 | Reset: 0 | Counter:  38 | PWM Out: 1
Time: 390000 | CLK: 0 | Reset: 0 | Counter:  38 | PWM Out: 1
Time: 395000 | CLK: 1 | Reset: 0 | Counter:  39 | PWM Out: 1
Time: 400000 | CLK: 0 | Reset: 0 | Counter:  39 | PWM Out: 1
Time: 405000 | CLK: 1 | Reset: 0 | Counter:  40 | PWM Out: 1
Time: 410000 | CLK: 0 | Reset: 0 | Counter:  40 | PWM Out: 1
Time: 415000 | CLK: 1 | Reset: 0 | Counter:  41 | PWM Out: 1
Time: 420000 | CLK: 0 | Reset: 0 | Counter:  41 | PWM Out: 1
Time: 425000 | CLK: 1 | Reset: 0 | Counter:  42 | PWM Out: 1
Time: 430000 | CLK: 0 | Reset: 0 | Counter:  42 | PWM Out: 1
Time: 435000 | CLK: 1 | Reset: 0 | Counter:  43 | PWM Out: 1
Time: 440000 | CLK: 0 | Reset: 0 | Counter:  43 | PWM Out: 1
Time: 445000 | CLK: 1 | Reset: 0 | Counter:  44 | PWM Out: 1
Time: 450000 | CLK: 0 | Reset: 0 | Counter:  44 | PWM Out: 1
Time: 455000 | CLK: 1 | Reset: 0 | Counter:  45 | PWM Out: 1
Time: 460000 | CLK: 0 | Reset: 0 | Counter:  45 | PWM Out: 1
Time: 465000 | CLK: 1 | Reset: 0 | Counter:  46 | PWM Out: 1
Time: 470000 | CLK: 0 | Reset: 0 | Counter:  46 | PWM Out: 1
Time: 475000 | CLK: 1 | Reset: 0 | Counter:  47 | PWM Out: 1
Time: 480000 | CLK: 0 | Reset: 0 | Counter:  47 | PWM Out: 1
Time: 485000 | CLK: 1 | Reset: 0 | Counter:  48 | PWM Out: 1
Time: 490000 | CLK: 0 | Reset: 0 | Counter:  48 | PWM Out: 1
Time: 495000 | CLK: 1 | Reset: 0 | Counter:  49 | PWM Out: 1
Time: 500000 | CLK: 0 | Reset: 0 | Counter:  49 | PWM Out: 1
Time: 505000 | CLK: 1 | Reset: 0 | Counter:  50 | PWM Out: 1
Time: 510000 | CLK: 0 | Reset: 0 | Counter:  50 | PWM Out: 1
Time: 515000 | CLK: 1 | Reset: 0 | Counter:  51 | PWM Out: 1
Time: 520000 | CLK: 0 | Reset: 0 | Counter:  51 | PWM Out: 1
Time: 525000 | CLK: 1 | Reset: 0 | Counter:  52 | PWM Out: 1
Time: 530000 | CLK: 0 | Reset: 0 | Counter:  52 | PWM Out: 1
Time: 535000 | CLK: 1 | Reset: 0 | Counter:  53 | PWM Out: 1
Time: 540000 | CLK: 0 | Reset: 0 | Counter:  53 | PWM Out: 1
Time: 545000 | CLK: 1 | Reset: 0 | Counter:  54 | PWM Out: 1
Time: 550000 | CLK: 0 | Reset: 0 | Counter:  54 | PWM Out: 1
Time: 555000 | CLK: 1 | Reset: 0 | Counter:  55 | PWM Out: 1
Time: 560000 | CLK: 0 | Reset: 0 | Counter:  55 | PWM Out: 1
Time: 565000 | CLK: 1 | Reset: 0 | Counter:  56 | PWM Out: 1
Time: 570000 | CLK: 0 | Reset: 0 | Counter:  56 | PWM Out: 1
Time: 575000 | CLK: 1 | Reset: 0 | Counter:  57 | PWM Out: 1
Time: 580000 | CLK: 0 | Reset: 0 | Counter:  57 | PWM Out: 1
Time: 585000 | CLK: 1 | Reset: 0 | Counter:  58 | PWM Out: 1
Time: 590000 | CLK: 0 | Reset: 0 | Counter:  58 | PWM Out: 1
Time: 595000 | CLK: 1 | Reset: 0 | Counter:  59 | PWM Out: 1
Time: 600000 | CLK: 0 | Reset: 0 | Counter:  59 | PWM Out: 1
Time: 605000 | CLK: 1 | Reset: 0 | Counter:  60 | PWM Out: 1
Time: 610000 | CLK: 0 | Reset: 0 | Counter:  60 | PWM Out: 1
Time: 615000 | CLK: 1 | Reset: 0 | Counter:  61 | PWM Out: 1
Time: 620000 | CLK: 0 | Reset: 0 | Counter:  61 | PWM Out: 1
